CustomerID,Gender,PartnerATT,DependentsATT,Landline,InternetService,PaymentMethod,Contract,StreamingTV,StreamingMovies,MonthlyCharges,TotalCharges,TenureMonths,Churn
C00049,Male,Yes,Yes,No,None,CreditCard,Month-to-Month,No,Yes,75.15,983.51,13,No
C00050,Female,Yes,No,No,Other,Electronic,Month-to-Month,No,No,65.62,1157.72,17,No
C00051,Male,No,Yes,No,ATT,Electronic,Month-to-Month,Yes,No,78.9,2448.12,29,No
C00052,Female,Yes,No,No,ATT,Electronic,Month-to-Month,No,No,54.53,1367.87,23,No
C00053,Female,No,No,Yes,ATT,CreditCard,Month-to-Month,No,Yes,105.18,2012.58,18,Yes
C00054,Female,No,Yes,Yes,None,BankTransfer,Month-to-Month,No,No,78.21,4374.02,54,No
C00055,Male,No,No,Yes,None,Electronic,TwoYear,No,No,24.23,1018.63,42,No
C00056,Male,Yes,No,Yes,ATT,MailedCheck,TwoYear,Yes,No,113.86,6341.35,54,No
C00057,Female,Yes,Yes,Yes,ATT,CreditCard,TwoYear,No,Yes,85.02,2433.5,27,No
C00058,Female,No,No,Yes,ATT,BankTransfer,OneYear,No,Yes,89.52,5277.09,58,No
C00059,Male,No,No,Yes,Other,BankTransfer,Month-to-Month,Yes,No,65.56,1496.49,22,No
C00060,Female,No,No,No,None,BankTransfer,Month-to-Month,Yes,Yes,78.12,4901.56,62,No
C00061,Male,Yes,No,Yes,Other,Electronic,TwoYear,Yes,Yes,57.5,2071.95,35,No
C00062,Male,No,No,No,Other,CreditCard,Month-to-Month,No,No,74.44,2176.56,29,Yes
C00063,Female,No,No,Yes,Other,BankTransfer,Month-to-Month,Yes,No,80.85,2895.84,35,Yes
C00064,Female,No,No,Yes,ATT,CreditCard,Month-to-Month,No,Yes,106.78,4461.19,41,Yes
C00065,Female,Yes,No,No,None,BankTransfer,Month-to-Month,No,No,36.59,761.21,20,No
C00066,Male,Yes,No,No,Other,MailedCheck,Month-to-Month,No,Yes,53.43,2417.94,42,No
C00067,Female,No,No,Yes,ATT,BankTransfer,OneYear,Yes,No,109.73,4345.44,39,No
C00068,Female,No,No,No,Other,Electronic,OneYear,Yes,No,90.25,5218.65,57,Yes
C00069,Female,Yes,Yes,No,ATT,CreditCard,TwoYear,No,No,63.27,2365.53,37,No
C00070,Male,No,No,Yes,Other,MailedCheck,Month-to-Month,Yes,Yes,77.68,1638.05,21,No
C00071,Male,Yes,No,Yes,ATT,Electronic,Month-to-Month,Yes,No,127.22,6625.8,51,Yes
C00072,Female,No,No,No,ATT,Electronic,OneYear,No,No,77.74,1471.93,17,No
C00073,Male,Yes,No,Yes,Other,BankTransfer,TwoYear,No,No,75.47,4872.16,62,No
C00074,Female,No,Yes,Yes,ATT,Electronic,Month-to-Month,No,No,66.6,3713.75,55,Yes
C00075,Male,Yes,No,No,ATT,BankTransfer,OneYear,Yes,No,72.95,2019.67,26,No
C00076,Female,No,Yes,Yes,Other,CreditCard,OneYear,No,No,87.56,3472.85,38,No
C00077,Male,No,No,Yes,None,CreditCard,Month-to-Month,No,Yes,95.65,4297.17,44,Yes
C00078,Female,No,No,Yes,ATT,CreditCard,OneYear,Yes,No,85.58,3672.52,42,No
C00079,Female,No,No,No,None,Electronic,TwoYear,No,No,30.74,701.28,19,No
C00080,Female,No,Yes,Yes,Other,CreditCard,OneYear,Yes,Yes,84.74,2885.21,34,No
C00081,Male,Yes,Yes,No,Other,Electronic,TwoYear,No,No,29.21,1112.7,36,No
C00082,Male,Yes,No,Yes,ATT,Electronic,OneYear,No,No,76.68,3982.2,51,No
C00083,Female,No,No,Yes,ATT,Electronic,Month-to-Month,No,Yes,94.51,3676.83,38,Yes
C00084,Male,Yes,No,Yes,None,Electronic,TwoYear,No,No,57.12,3691.21,64,No
C00085,Female,Yes,No,No,ATT,CreditCard,Month-to-Month,No,No,93.13,6632.6,70,No
C00086,Male,No,No,No,Other,MailedCheck,TwoYear,No,No,81.41,5052.36,60,No
C00087,Male,No,No,Yes,ATT,CreditCard,OneYear,Yes,No,125.64,5997.95,47,No
C00088,Male,Yes,Yes,Yes,Other,BankTransfer,Month-to-Month,No,No,71.24,164.6,2,No
C00089,Female,No,No,No,None,Electronic,Month-to-Month,Yes,No,82.76,333.81,4,Yes
C00090,Male,No,Yes,No,None,MailedCheck,Month-to-Month,No,No,79.89,5612.07,70,No
C00091,Male,No,No,No,None,CreditCard,Month-to-Month,No,Yes,92.27,3748.11,40,Yes
C00092,Female,No,Yes,No,ATT,CreditCard,TwoYear,Yes,No,76.41,2005.29,25,No
C00093,Female,Yes,Yes,Yes,Other,Electronic,TwoYear,No,No,64.58,4342.21,66,No
C00094,Male,Yes,No,No,ATT,CreditCard,OneYear,No,No,96.49,4635.13,48,Yes
C00095,Male,Yes,Yes,Yes,ATT,BankTransfer,OneYear,No,Yes,69.51,3601.17,50,No
C00096,Female,Yes,Yes,Yes,ATT,Electronic,OneYear,No,Yes,124.27,7041.52,56,No
C00097,Female,No,No,Yes,Other,BankTransfer,Month-to-Month,No,No,47.85,113.6,1,Yes
C00098,Female,Yes,No,Yes,ATT,CreditCard,Month-to-Month,Yes,No,130.0,4953.09,38,No
C00099,Female,No,Yes,Yes,ATT,MailedCheck,TwoYear,Yes,No,110.19,4030.89,36,Yes
C00100,Male,No,Yes,Yes,Other,CreditCard,TwoYear,No,No,79.95,4061.15,50,No
C00101,Female,No,No,Yes,ATT,CreditCard,Month-to-Month,Yes,Yes,130.0,1667.44,12,Yes
C00102,Female,No,No,No,ATT,Electronic,Month-to-Month,No,No,70.56,2780.46,39,No
C00103,Female,No,No,Yes,None,Electronic,Month-to-Month,Yes,Yes,74.42,2786.41,35,No
C00104,Female,No,No,No,ATT,CreditCard,TwoYear,No,No,74.76,4027.94,52,No
C00105,Female,No,No,Yes,ATT,Electronic,OneYear,Yes,No,100.5,5029.37,49,No
C00106,Male,No,No,No,ATT,CreditCard,OneYear,No,No,97.27,724.54,6,Yes
C00107,Female,Yes,No,Yes,ATT,MailedCheck,TwoYear,No,No,100.02,4484.96,43,No
C00108,Male,No,No,No,ATT,BankTransfer,OneYear,Yes,No,66.15,1709.6,23,No
C00109,Female,No,No,Yes,ATT,CreditCard,Month-to-Month,No,No,76.15,1337.25,15,Yes
C00110,Male,No,No,No,None,BankTransfer,OneYear,No,Yes,65.54,1668.24,25,No
C00111,Male,No,No,No,ATT,MailedCheck,TwoYear,No,No,50.51,1343.01,23,No
C00112,Female,Yes,No,Yes,ATT,Electronic,OneYear,No,No,97.12,2913.93,28,No
C00113,Female,No,No,Yes,Other,CreditCard,TwoYear,Yes,No,70.6,4963.36,70,No
C00114,Male,Yes,No,Yes,ATT,Electronic,Month-to-Month,No,No,116.52,4127.76,34,No
C00115,Female,No,No,No,Other,BankTransfer,Month-to-Month,Yes,No,83.06,2692.58,31,No
C00116,Female,Yes,No,Yes,Other,MailedCheck,OneYear,No,No,42.14,1961.33,46,No
C00117,Male,No,Yes,No,None,Electronic,Month-to-Month,Yes,Yes,81.74,4054.34,48,No
C00118,Male,Yes,Yes,No,ATT,BankTransfer,Month-to-Month,Yes,No,97.32,5453.44,56,Yes
C00119,Male,No,No,Yes,Other,Electronic,Month-to-Month,No,No,42.75,2519.37,57,No
C00120,Male,Yes,No,Yes,ATT,Electronic,Month-to-Month,No,No,116.22,1194.93,9,Yes
C00121,Female,Yes,No,No,ATT,Electronic,OneYear,No,Yes,109.95,5279.53,48,Yes
C00122,Female,Yes,Yes,No,ATT,BankTransfer,OneYear,No,No,96.75,2268.99,23,No
C00123,Female,Yes,No,No,ATT,Electronic,Month-to-Month,Yes,No,109.6,7787.76,70,No
C00124,Female,No,No,Yes,ATT,CreditCard,Month-to-Month,No,Yes,130.0,2178.34,16,Yes
C00125,Female,No,No,Yes,None,CreditCard,Month-to-Month,Yes,No,97.37,2718.09,26,Yes
C00126,Male,No,No,Yes,ATT,CreditCard,OneYear,Yes,Yes,130.0,4291.74,32,No
C00127,Male,No,No,No,Other,BankTransfer,Month-to-Month,Yes,No,87.23,4274.63,49,No
C00128,Female,No,Yes,No,Other,Electronic,OneYear,Yes,No,79.46,1420.05,17,No
C00129,Male,No,No,No,ATT,CreditCard,Month-to-Month,Yes,Yes,91.29,1183.63,11,No
C00130,Male,Yes,No,Yes,ATT,CreditCard,OneYear,No,No,99.29,1433.85,14,No
C00131,Male,Yes,No,No,None,MailedCheck,TwoYear,No,Yes,54.37,3881.11,70,No
C00132,Female,Yes,Yes,Yes,Other,MailedCheck,OneYear,Yes,Yes,63.81,3575.41,55,No
C00133,Male,Yes,No,No,ATT,MailedCheck,Month-to-Month,Yes,No,95.18,3455.42,36,No
C00134,Male,Yes,No,No,ATT,Electronic,TwoYear,Yes,Yes,52.43,3303.69,63,No
C00135,Male,No,No,Yes,ATT,CreditCard,Month-to-Month,Yes,Yes,84.94,6179.13,71,No
C00136,Female,No,No,Yes,Other,Electronic,Month-to-Month,No,No,88.88,3069.61,33,No
C00137,Female,Yes,No,Yes,ATT,BankTransfer,Month-to-Month,No,No,110.28,5047.13,45,No
C00138,Male,No,No,Yes,Other,Electronic,Month-to-Month,No,Yes,106.84,2488.04,23,No
C00139,Female,Yes,No,Yes,Other,MailedCheck,Month-to-Month,No,No,104.58,2334.25,22,No
C00140,Male,Yes,No,Yes,ATT,MailedCheck,Month-to-Month,Yes,No,79.41,4352.61,54,Yes
C00141,Female,No,No,Yes,None,BankTransfer,Month-to-Month,No,No,61.33,3386.96,54,No
C00142,Male,Yes,Yes,Yes,ATT,BankTransfer,Month-to-Month,No,No,75.31,2133.5,26,No
C00143,Female,No,No,Yes,ATT,BankTransfer,OneYear,No,Yes,121.0,1127.21,8,No
C00144,Male,No,No,Yes,None,Electronic,OneYear,No,No,85.55,3367.2,38,Yes
C00145,Female,No,No,Yes,ATT,Electronic,Month-to-Month,No,Yes,88.66,2789.33,31,No
C00146,Female,Yes,No,No,Other,MailedCheck,OneYear,No,Yes,66.95,1126.88,14,No
C00147,Male,No,No,Yes,Other,CreditCard,TwoYear,Yes,No,70.72,3781.44,52,No
C00148,Male,Yes,No,Yes,ATT,CreditCard,OneYear,No,Yes,86.44,2184.42,25,Yes
C00149,Female,Yes,No,Yes,None,BankTransfer,Month-to-Month,Yes,No,94.39,3992.8,42,Yes
C00150,Male,Yes,Yes,No,ATT,Electronic,Month-to-Month,No,No,101.48,2106.03,20,Yes
C00151,Male,Yes,No,No,ATT,CreditCard,TwoYear,Yes,No,123.46,3398.49,27,Yes
C00152,Female,No,No,Yes,Other,CreditCard,OneYear,Yes,No,84.25,4840.38,57,No
C00153,Male,No,No,Yes,ATT,MailedCheck,Month-to-Month,No,Yes,110.25,3184.09,28,Yes
C00154,Female,Yes,Yes,No,None,MailedCheck,Month-to-Month,No,No,70.77,3662.55,50,No
C00155,Male,No,No,Yes,ATT,CreditCard,OneYear,No,No,72.02,4115.57,56,No
C00156,Male,Yes,No,Yes,Other,BankTransfer,TwoYear,Yes,Yes,67.43,4372.93,64,No
C00157,Male,No,No,Yes,Other,BankTransfer,TwoYear,No,No,64.63,3897.16,59,No
C00158,Male,No,No,No,ATT,BankTransfer,Month-to-Month,No,No,70.53,3827.63,54,No
C00159,Female,No,No,Yes,ATT,MailedCheck,OneYear,No,Yes,96.37,2708.39,27,No
C00160,Male,No,No,No,ATT,MailedCheck,TwoYear,No,Yes,77.14,1560.95,18,No
C00161,Male,No,No,Yes,Other,MailedCheck,Month-to-Month,No,No,92.76,1987.21,21,No
C00162,Female,Yes,Yes,Yes,ATT,BankTransfer,Month-to-Month,Yes,No,127.57,7584.6,58,No
C00163,Male,No,Yes,Yes,Other,Electronic,TwoYear,No,Yes,66.39,2808.76,40,No
C00164,Female,No,No,No,ATT,MailedCheck,Month-to-Month,No,No,87.14,2814.11,31,No
C00165,Female,No,No,Yes,ATT,BankTransfer,Month-to-Month,No,No,125.61,1244.78,9,Yes
C00166,Female,No,No,Yes,ATT,BankTransfer,TwoYear,No,No,113.45,5977.41,52,No
C00167,Female,No,No,Yes,ATT,Electronic,OneYear,No,No,48.61,1287.4,26,No
C00168,Female,No,Yes,Yes,None,BankTransfer,Month-to-Month,No,No,45.21,478.47,7,No
C00169,Female,Yes,Yes,No,Other,Electronic,Month-to-Month,No,No,72.66,1174.13,14,Yes
C00170,Male,Yes,No,Yes,ATT,CreditCard,TwoYear,Yes,No,106.32,6379.76,60,No
C00171,Male,No,No,Yes,ATT,MailedCheck,Month-to-Month,No,Yes,130.0,8885.51,67,Yes
C00172,Male,Yes,No,No,ATT,Electronic,Month-to-Month,Yes,Yes,116.09,6914.61,59,No
C00173,Female,Yes,No,Yes,ATT,CreditCard,Month-to-Month,No,No,121.11,8039.19,65,No
C00174,Female,No,No,Yes,None,CreditCard,OneYear,Yes,No,81.13,3312.34,40,No
C00175,Male,Yes,No,Yes,ATT,Electronic,Month-to-Month,Yes,No,116.72,3160.75,27,Yes
C00176,Female,No,No,Yes,None,MailedCheck,TwoYear,Yes,No,35.43,2165.49,58,No
C00177,Female,Yes,No,Yes,ATT,MailedCheck,OneYear,No,No,88.62,4590.08,51,No
C00178,Female,No,No,Yes,Other,Electronic,Month-to-Month,Yes,No,107.21,2002.77,17,No
C00179,Female,No,Yes,Yes,ATT,BankTransfer,TwoYear,Yes,No,116.26,4605.04,39,No
C00180,Female,No,No,Yes,ATT,BankTransfer,Month-to-Month,No,No,93.75,2060.65,21,No
C00181,Female,Yes,No,No,None,BankTransfer,Month-to-Month,No,Yes,42.38,3098.64,70,Yes
C00182,Female,No,No,Yes,ATT,Electronic,Month-to-Month,Yes,Yes,125.84,4010.24,31,Yes
C00183,Male,Yes,No,No,ATT,BankTransfer,Month-to-Month,No,Yes,83.42,4962.88,59,Yes
C00184,Female,No,No,No,ATT,Electronic,Month-to-Month,Yes,Yes,93.83,1264.17,12,No
C00185,Female,No,No,Yes,Other,Electronic,Month-to-Month,No,No,70.2,241.18,1,Yes
C00186,Male,No,No,Yes,ATT,BankTransfer,TwoYear,No,No,78.91,2390.79,29,No
C00187,Male,No,No,Yes,None,Electronic,OneYear,No,No,83.11,763.26,7,Yes
C00188,Male,Yes,No,No,ATT,Electronic,Month-to-Month,No,No,85.72,2490.6,27,No
C00189,Male,No,No,No,Other,BankTransfer,OneYear,Yes,No,51.03,1733.24,33,Yes
C00190,Female,No,No,Yes,ATT,Electronic,Month-to-Month,Yes,No,112.11,7515.51,67,No
C00191,Female,No,No,Yes,Other,CreditCard,OneYear,No,No,99.99,2934.08,28,Yes
C00192,Female,No,Yes,No,None,Electronic,TwoYear,No,No,18.0,537.9,24,No
C00193,Male,No,No,Yes,ATT,BankTransfer,TwoYear,Yes,No,130.0,8119.47,62,No
C00194,Female,No,No,No,ATT,CreditCard,OneYear,Yes,Yes,111.66,4207.83,37,No
C00195,Female,No,No,Yes,ATT,Electronic,TwoYear,No,No,73.44,1111.46,14,No
C00196,Female,Yes,No,No,None,CreditCard,Month-to-Month,Yes,No,79.43,3377.25,41,Yes
C00197,Male,Yes,No,No,None,BankTransfer,OneYear,No,Yes,77.44,3432.17,42,No
C00198,Male,Yes,Yes,Yes,ATT,Electronic,OneYear,Yes,No,65.48,2891.68,44,No
C00199,Male,No,No,Yes,None,BankTransfer,Month-to-Month,No,Yes,65.39,2886.05,44,No
C00200,Female,No,No,No,Other,CreditCard,OneYear,Yes,Yes,45.56,2445.42,50,No
C00201,Male,No,No,Yes,Other,MailedCheck,Month-to-Month,No,No,60.84,2565.31,39,No
C00202,Female,Yes,Yes,No,ATT,BankTransfer,Month-to-Month,Yes,No,92.68,1092.94,11,No
C00203,Male,No,No,Yes,ATT,BankTransfer,Month-to-Month,No,Yes,117.15,4234.41,36,No
C00204,Male,Yes,No,Yes,Other,CreditCard,TwoYear,No,No,46.95,2887.95,59,No
C00205,Female,Yes,No,Yes,ATT,CreditCard,TwoYear,No,No,91.37,2084.24,22,No
C00206,Female,No,Yes,Yes,ATT,CreditCard,OneYear,Yes,No,67.95,1531.26,22,No
C00207,Female,No,No,No,ATT,BankTransfer,Month-to-Month,No,No,120.9,3420.6,28,Yes
C00208,Male,No,No,Yes,ATT,Electronic,Month-to-Month,Yes,Yes,113.24,4197.7,37,No
C00209,Male,No,No,No,ATT,CreditCard,TwoYear,No,No,52.47,2384.24,42,No
C00210,Male,Yes,Yes,No,ATT,CreditCard,Month-to-Month,No,Yes,127.31,2316.09,18,No
C00211,Male,No,Yes,No,Other,BankTransfer,Month-to-Month,Yes,Yes,87.49,2348.21,26,Yes
C00212,Female,Yes,No,Yes,ATT,BankTransfer,Month-to-Month,No,No,114.62,8141.38,70,No
C00213,Female,Yes,No,No,None,BankTransfer,OneYear,No,No,65.18,2486.2,37,No
C00214,Male,Yes,No,Yes,None,BankTransfer,TwoYear,Yes,No,36.08,1598.72,43,No
C00215,Female,No,No,Yes,Other,BankTransfer,Month-to-Month,Yes,No,121.98,2788.85,22,Yes
C00216,Female,No,No,Yes,ATT,Electronic,Month-to-Month,No,Yes,124.68,1404.65,10,Yes
C00217,Female,Yes,No,Yes,None,BankTransfer,OneYear,Yes,No,56.82,1098.74,17,No
C00218,Female,Yes,No,No,None,CreditCard,Month-to-Month,No,No,42.99,423.58,9,Yes
C00219,Female,No,No,Yes,ATT,MailedCheck,Month-to-Month,Yes,Yes,130.0,4643.2,35,No
C00220,Male,No,No,No,ATT,CreditCard,TwoYear,Yes,Yes,73.83,4180.02,54,No
C00221,Male,Yes,No,Yes,ATT,CreditCard,OneYear,No,No,93.69,3707.14,38,No
C00222,Female,No,Yes,No,ATT,CreditCard,TwoYear,Yes,No,73.19,4688.71,62,No
C00223,Female,Yes,No,No,ATT,CreditCard,OneYear,No,No,60.72,1345.66,22,No
C00224,Male,Yes,Yes,No,ATT,MailedCheck,Month-to-Month,No,No,96.09,6103.65,62,No
C00225,Male,No,No,Yes,ATT,Electronic,Month-to-Month,No,No,119.69,8787.3,72,Yes
C00226,Female,No,No,No,ATT,Electronic,OneYear,No,No,61.68,606.15,8,No
C00227,Male,Yes,No,Yes,ATT,CreditCard,Month-to-Month,No,No,74.99,2519.4,33,No
C00228,Male,No,No,Yes,ATT,CreditCard,Month-to-Month,No,No,108.21,2387.43,21,No
C00229,Male,Yes,No,Yes,ATT,BankTransfer,Month-to-Month,No,No,91.39,1568.59,16,Yes
C00230,Male,No,Yes,No,ATT,MailedCheck,Month-to-Month,No,Yes,100.76,272.66,1,Yes
C00231,Female,No,No,Yes,ATT,BankTransfer,Month-to-Month,No,No,91.19,5921.44,64,No
C00232,Female,No,No,Yes,ATT,Electronic,Month-to-Month,No,No,94.94,4455.45,45,No
C00233,Male,Yes,Yes,No,Other,Electronic,OneYear,No,Yes,78.01,2916.8,35,No
C00234,Male,No,Yes,Yes,None,BankTransfer,Month-to-Month,Yes,No,103.72,1880.86,17,Yes
C00235,Female,Yes,No,Yes,ATT,CreditCard,TwoYear,Yes,No,110.58,2895.46,26,No
C00236,Male,Yes,Yes,No,ATT,Electronic,TwoYear,No,No,35.31,1800.58,46,No
C00237,Female,No,No,Yes,ATT,BankTransfer,TwoYear,Yes,No,122.89,7572.0,60,No
C00238,Male,Yes,Yes,No,ATT,MailedCheck,OneYear,Yes,Yes,77.45,3227.76,40,No
C00239,Male,No,Yes,Yes,ATT,CreditCard,Month-to-Month,Yes,No,101.79,3437.0,32,Yes
C00240,Female,No,No,No,Other,CreditCard,TwoYear,Yes,No,37.95,2167.34,55,No
C00241,Female,No,No,Yes,ATT,BankTransfer,OneYear,No,No,70.17,2928.11,39,No
C00242,Male,No,No,No,ATT,BankTransfer,Month-to-Month,Yes,No,116.68,6340.94,54,Yes
C00243,Male,Yes,No,Yes,ATT,CreditCard,OneYear,No,No,62.71,2592.24,40,No
C00244,Male,Yes,Yes,No,ATT,BankTransfer,OneYear,Yes,Yes,106.48,4406.09,40,No
C00245,Female,No,No,No,Other,Electronic,OneYear,Yes,No,102.25,3098.07,29,No
C00246,Female,No,No,Yes,Other,Electronic,OneYear,No,No,69.94,988.01,14,No
C00247,Female,No,No,Yes,ATT,BankTransfer,TwoYear,Yes,No,97.22,6169.13,62,No
C00248,Female,No,Yes,Yes,None,CreditCard,TwoYear,No,No,27.4,1292.37,46,No
C00249,Female,No,No,Yes,ATT,MailedCheck,Month-to-Month,No,Yes,96.14,5481.05,55,No
C00250,Male,No,No,Yes,ATT,Electronic,OneYear,No,No,89.14,724.25,6,No
C00251,Male,No,No,Yes,ATT,Electronic,Month-to-Month,No,No,81.37,2005.54,23,Yes
C00252,Male,No,Yes,No,ATT,CreditCard,Month-to-Month,Yes,No,130.0,2733.07,20,Yes
C00253,Female,Yes,No,No,ATT,MailedCheck,OneYear,Yes,Yes,115.11,3752.88,32,Yes
C00254,Male,Yes,No,Yes,ATT,CreditCard,OneYear,No,No,116.9,3218.12,26,Yes
C00255,Male,No,No,Yes,Other,CreditCard,TwoYear,No,Yes,77.4,3670.81,46,No
C00256,Male,No,Yes,Yes,None,BankTransfer,Month-to-Month,Yes,No,63.09,3916.51,60,Yes
C00257,Male,Yes,No,Yes,ATT,BankTransfer,TwoYear,No,No,94.76,3892.64,40,No
C00258,Female,Yes,No,Yes,ATT,MailedCheck,OneYear,No,No,78.3,2070.52,25,No
C00259,Male,No,No,No,ATT,BankTransfer,Month-to-Month,No,No,95.7,4007.29,40,No
C00260,Female,No,Yes,Yes,ATT,Electronic,Month-to-Month,Yes,Yes,130.0,5354.72,41,Yes
C00261,Male,No,No,No,ATT,CreditCard,Month-to-Month,Yes,No,102.98,3182.85,30,No
C00262,Female,Yes,Yes,No,ATT,CreditCard,Month-to-Month,No,No,88.34,2790.97,30,No
C00263,Male,Yes,Yes,Yes,ATT,MailedCheck,OneYear,No,No,111.3,3082.51,27,No
C00264,Male,No,No,Yes,None,Electronic,OneYear,No,No,29.94,665.52,22,Yes
C00265,Male,Yes,No,Yes,ATT,Electronic,TwoYear,No,No,77.73,3106.25,38,No
C00266,Male,Yes,No,Yes,ATT,BankTransfer,Month-to-Month,No,No,84.84,5022.03,57,Yes
C00267,Female,No,Yes,Yes,None,CreditCard,Month-to-Month,No,Yes,65.76,1144.27,16,Yes
C00268,Male,No,No,Yes,Other,BankTransfer,OneYear,No,Yes,87.59,1178.07,12,Yes
C00269,Female,Yes,Yes,Yes,ATT,Electronic,TwoYear,Yes,No,120.46,6390.41,53,No
C00270,Male,Yes,No,No,None,BankTransfer,OneYear,Yes,Yes,86.44,3953.12,44,No
C00271,Male,Yes,Yes,Yes,None,CreditCard,Month-to-Month,Yes,No,75.94,261.64,1,Yes
C00272,Male,Yes,No,Yes,ATT,CreditCard,Month-to-Month,No,Yes,124.97,6064.12,48,Yes
C00273,Female,No,No,No,None,Electronic,OneYear,Yes,No,73.12,1651.88,20,No
