fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.21,0.628,0.237,2.39,0.1029,25,54,0.9978,3.51,0.517,9.9,4
6.04,0.543,0.195,3.69,0.119,18,67,0.9985,3.29,0.477,9.4,4
8.22,0.572,0.037,2.9,0.1145,16,76,0.998,3.4,0.701,10.0,4
6.12,0.644,0.054,2.48,0.1439,23,72,0.9987,3.44,0.349,9.5,3
11.76,0.206,0.505,0.75,0.0814,8,22,0.9952,3.09,0.984,12.6,8
9.44,0.18,0.436,1.07,0.0301,1,22,0.9959,3.27,0.786,12.6,8
9.09,0.517,0.334,1.55,0.0681,11,61,0.9973,3.31,0.566,10.0,5
7.64,0.807,0.199,3.34,0.1147,13,68,0.9982,3.57,0.552,8.9,3
6.81,0.742,0.131,2.68,0.141,24,86,0.9996,3.46,0.326,9.4,3
5.7,0.524,0.264,2.73,0.0925,22,63,0.9981,3.39,0.482,10.3,4
9.71,0.408,0.431,3.16,0.0373,24,60,0.9972,3.33,0.659,10.3,5
9.03,0.516,0.271,1.87,0.054,16,45,0.9956,3.21,0.701,10.8,6
10.11,0.573,0.507,1.77,0.045,14,49,0.9988,3.25,0.572,11.4,6
10.38,0.234,0.585,2.16,0.0202,6,8,0.9955,3.25,0.818,12.7,8
8.7,0.356,0.536,0.7,0.0694,3,26,0.997,3.1,0.896,11.9,7
7.79,0.685,0.062,2.95,0.1515,32,89,0.9989,3.4,0.505,9.0,3
9.31,0.493,0.332,2.12,0.0558,12,19,0.9965,3.33,0.701,11.1,6
10.33,0.293,0.526,1.16,0.0464,14,23,0.9946,3.25,0.803,13.1,8
8.65,0.485,0.248,1.8,0.0661,16,38,0.9967,3.27,0.803,10.2,5
11.08,0.384,0.364,0.5,0.0471,12,31,0.9948,3.14,1.142,13.2,8
8.26,0.661,0.318,2.24,0.095,17,53,0.9967,3.28,0.596,9.3,4
5.78,0.631,0.213,4.9,0.1357,17,71,0.9999,3.35,0.574,9.3,3
8.17,0.567,0.243,1.53,0.0623,19,33,0.9969,3.43,0.737,10.3,5
7.52,0.382,0.237,1.74,0.0633,10,29,0.9972,3.33,0.907,10.7,6
9.83,0.333,0.412,0.5,0.0511,2,47,0.995,3.15,0.945,12.6,8
8.14,0.588,0.404,2.15,0.0715,16,66,0.9975,3.35,0.79,10.8,5
8.85,0.879,0.102,3.79,0.1233,20,73,0.9982,3.39,0.334,9.7,3
5.71,0.726,0.111,3.24,0.1313,24,71,0.997,3.25,0.431,9.2,3
6.4,0.76,0.187,3.42,0.1082,20,92,0.9988,3.38,0.471,9.8,3
9.61,0.373,0.344,1.05,0.0488,13,46,0.9977,3.37,0.896,10.7,6
6.93,0.633,0.186,4.76,0.092,19,50,0.9965,3.31,0.627,10.3,4
10.67,0.288,0.477,1.08,0.0471,7,15,0.9957,3.12,0.923,12.8,8
7.2,0.465,0.137,2.63,0.1376,18,47,0.9983,3.42,0.571,9.4,4
7.74,0.549,0.13,1.73,0.083,16,44,0.9964,3.42,0.762,10.4,5
8.98,0.767,0.185,3.5,0.0656,19,71,0.9981,3.41,0.457,9.9,4
7.19,0.915,0.0,3.18,0.1391,27,70,0.9982,3.37,0.57,9.2,3
6.85,0.654,0.175,3.52,0.1174,17,67,0.9996,3.45,0.371,9.6,3
9.56,0.426,0.329,0.79,0.0536,21,28,0.9967,3.2,0.543,11.1,6
7.14,0.775,0.081,3.57,0.118,26,74,0.9989,3.53,0.299,9.0,3
9.52,0.377,0.398,1.47,0.0533,12,14,0.9955,3.08,0.76,11.1,6
6.72,0.745,0.149,3.91,0.1233,25,84,0.999,3.4,0.646,9.6,3
9.17,0.581,0.147,2.54,0.0713,14,45,0.9958,3.29,0.705,11.4,6
7.93,0.435,0.183,1.82,0.0773,20,55,0.9965,3.26,0.757,10.2,5
7.78,0.462,0.255,1.84,0.0488,20,61,0.9979,3.18,0.602,11.4,5
9.98,0.356,0.28,0.66,0.0428,14,25,0.9958,3.32,0.698,11.6,7
7.09,0.48,0.199,2.47,0.1482,15,65,0.9977,3.35,0.592,10.0,4
7.25,0.458,0.216,1.38,0.0848,7,51,0.9979,3.45,0.601,10.6,5
8.37,0.554,0.307,2.77,0.1009,30,63,0.9981,3.44,0.627,8.9,4
10.0,0.322,0.513,0.84,0.0835,10,6,0.997,3.23,0.651,12.3,7
6.03,0.627,0.146,2.6,0.0976,18,43,0.9968,3.28,0.613,10.3,5
7.97,0.268,0.25,2.63,0.0241,21,25,0.9971,3.28,0.678,10.8,6
9.07,0.191,0.412,0.5,0.0521,4,11,0.9949,3.15,0.844,12.8,8
7.75,0.903,0.096,3.13,0.1119,23,89,0.9988,3.5,0.407,9.6,3
6.5,0.481,0.188,2.39,0.1149,13,67,0.9975,3.44,0.639,10.9,4
8.77,0.366,0.306,1.65,0.0764,14,53,0.9983,3.29,0.723,10.2,5
8.23,0.652,0.096,4.39,0.1164,21,84,0.9993,3.54,0.439,9.1,3
8.05,0.501,0.172,2.77,0.1168,29,67,0.9972,3.49,0.77,10.2,4
9.16,0.361,0.258,2.53,0.0681,16,40,0.9957,3.24,0.916,10.4,5
8.66,0.408,0.264,1.77,0.0439,13,53,0.9975,3.23,0.573,10.1,5
7.71,0.58,0.219,2.43,0.097,21,43,0.9962,3.23,0.493,10.6,5
9.6,0.477,0.122,2.56,0.0736,18,41,0.9984,3.36,0.548,10.9,5
10.9,0.372,0.438,0.95,0.0402,6,7,0.9957,3.26,0.729,13.2,8
8.09,0.387,0.248,2.08,0.0547,14,40,0.9977,3.38,0.634,10.8,5
9.48,0.749,0.19,2.19,0.1088,20,59,0.9971,3.3,0.563,9.5,4
9.88,0.501,0.36,1.92,0.0742,14,6,0.9965,3.24,0.888,11.8,7
7.02,0.678,0.202,2.89,0.0752,10,69,0.9965,3.35,0.629,9.6,4
7.57,0.631,0.273,1.71,0.1178,14,73,0.9975,3.47,0.822,9.9,4
8.33,0.379,0.385,3.08,0.0367,9,34,0.996,3.17,0.772,11.5,7
7.06,0.607,0.0,3.1,0.145,13,71,0.9982,3.45,0.487,9.1,3
8.9,0.573,0.182,2.35,0.031,16,37,0.998,3.35,0.485,10.8,5
10.0,0.336,0.564,1.87,0.1011,7,35,0.9961,3.18,0.636,12.1,7
10.22,0.292,0.578,0.5,0.0783,10,20,0.994,3.11,0.898,12.8,8
9.31,0.391,0.318,2.45,0.0634,4,27,0.9967,3.08,0.836,11.7,7
9.84,0.424,0.314,1.6,0.0962,20,47,0.9975,3.12,0.86,10.8,6
9.69,0.305,0.185,1.02,0.0537,11,44,0.9967,3.27,0.78,11.5,6
6.93,0.792,0.179,2.89,0.0701,18,48,0.9992,3.31,0.723,10.0,4
8.28,0.747,0.121,4.17,0.0847,16,83,0.999,3.35,0.458,8.8,3
9.89,0.27,0.351,1.21,0.0557,6,43,0.9964,3.07,1.005,12.1,7
9.62,0.265,0.302,1.54,0.0811,9,31,0.9978,3.29,0.763,10.0,6
8.61,0.402,0.342,2.0,0.09,11,48,0.9977,3.22,0.743,10.5,5
6.82,0.698,0.168,2.97,0.099,15,63,0.997,3.4,0.453,9.3,4
7.28,0.91,0.188,3.29,0.1016,19,87,0.9987,3.55,0.465,9.0,3
7.12,0.478,0.17,1.76,0.0792,18,59,0.9972,3.29,0.68,11.0,5
10.26,0.199,0.6,1.8,0.0656,8,7,0.9974,3.12,0.6,11.9,7
8.12,0.493,0.222,1.6,0.0416,10,43,0.9972,3.26,0.955,10.8,6
8.58,0.492,0.318,2.39,0.087,10,19,0.9979,3.25,0.746,11.2,6
7.03,0.68,0.154,3.03,0.125,17,44,0.9977,3.41,0.665,10.1,4
6.87,0.575,0.054,3.36,0.1159,14,44,0.9989,3.4,0.385,10.3,4
6.02,0.759,0.093,3.12,0.1083,11,82,0.9985,3.38,0.611,9.3,3
9.84,0.338,0.395,2.36,0.0294,6,6,0.9966,3.12,0.726,11.2,7
6.46,0.503,0.209,3.08,0.0873,19,54,0.9984,3.27,0.384,9.9,4
7.61,0.815,0.002,3.05,0.1344,18,79,0.9991,3.38,0.563,9.2,3
6.54,0.631,0.132,2.3,0.135,18,48,0.9978,3.4,0.546,9.9,4
10.24,0.252,0.363,0.87,0.0233,10,31,0.9962,3.29,0.808,12.5,8
9.07,0.696,0.32,3.04,0.1247,17,52,0.9989,3.36,0.437,9.9,4
11.57,0.353,0.396,0.5,0.0492,19,29,0.9979,3.15,0.89,11.7,7
8.29,0.533,0.187,2.41,0.1196,29,56,0.9972,3.52,0.464,9.9,4
9.95,0.256,0.525,0.98,0.0788,9,19,0.9963,3.42,0.706,11.2,7
7.38,0.761,0.122,3.29,0.1135,26,76,0.9981,3.49,0.334,9.6,3
6.99,0.534,0.265,2.69,0.0682,19,30,0.9975,3.37,0.538,10.4,5
8.28,0.3,0.372,0.52,0.0553,9,13,0.9966,3.19,0.955,12.9,7
7.87,0.638,0.245,2.14,0.1298,17,34,0.9974,3.23,0.652,10.1,5
8.87,0.378,0.508,2.05,0.0796,5,15,0.9968,3.22,0.891,12.3,7
7.22,0.553,0.023,2.97,0.0913,26,62,0.9987,3.48,0.639,8.8,3
9.22,0.554,0.406,0.5,0.0549,3,34,0.9975,3.12,0.862,12.0,7
7.83,0.513,0.134,3.5,0.0638,14,22,0.9959,3.34,0.501,10.5,5
9.71,0.337,0.44,1.77,0.0589,13,45,0.9964,3.42,0.709,10.6,6
5.93,0.728,0.201,2.76,0.1353,28,42,0.9961,3.55,0.496,9.4,3
8.63,0.677,0.067,3.51,0.1507,18,82,0.9986,3.53,0.5,8.3,3
10.2,0.438,0.305,1.56,0.0982,8,37,0.9956,3.26,0.714,11.2,6
9.88,0.484,0.289,0.79,0.0581,11,40,0.9961,3.21,0.821,11.6,6
6.94,0.538,0.176,3.42,0.1254,13,37,0.9978,3.33,0.698,9.7,4
7.48,0.599,0.232,2.6,0.1061,26,68,0.9985,3.32,0.533,9.0,3
11.02,0.128,0.568,0.74,0.0344,4,14,0.9968,3.04,0.866,12.6,8
11.04,0.259,0.435,0.81,0.0353,7,33,0.9957,3.24,0.916,12.9,8
10.96,0.383,0.269,0.55,0.0489,1,12,0.9959,3.14,0.857,12.0,8
7.94,0.747,0.196,4.0,0.1322,17,58,0.9984,3.33,0.791,10.0,3
8.14,0.377,0.387,2.84,0.0704,17,42,0.9977,3.21,0.714,11.0,6
7.11,0.788,0.197,4.31,0.1067,26,87,0.9992,3.44,0.38,9.3,3
9.77,0.542,0.371,1.58,0.0641,20,39,0.9962,3.24,0.853,10.8,6
7.79,0.644,0.223,3.08,0.0973,14,46,0.9983,3.44,0.608,10.4,4
11.19,0.277,0.598,1.11,0.0935,7,10,0.9946,3.03,0.987,13.1,8
8.27,0.575,0.221,2.43,0.0594,18,73,0.9977,3.38,0.411,9.8,4
7.65,0.455,0.257,2.01,0.0771,5,21,0.9968,3.3,0.494,10.8,6
9.34,0.116,0.326,1.01,0.0838,11,9,0.9973,3.16,0.766,12.3,7
7.4,0.51,0.16,2.24,0.1171,11,82,0.9974,3.58,0.542,10.3,4
8.09,0.633,0.352,3.84,0.104,28,54,0.9974,3.39,0.395,10.2,4
11.41,0.1,0.584,1.69,0.0813,13,41,0.9955,3.09,0.898,13.2,8
9.5,0.537,0.325,2.51,0.0699,14,50,0.997,3.21,0.728,11.9,6
10.84,0.231,0.404,1.35,0.01,12,23,0.9976,3.27,0.646,11.6,7
8.28,0.425,0.347,0.66,0.0735,14,19,0.9962,3.32,0.575,11.4,6
9.7,0.479,0.39,1.71,0.067,17,31,0.9961,3.07,0.601,10.4,6
7.82,0.862,0.015,3.15,0.1219,21,83,0.998,3.36,0.384,9.2,3
6.69,1.062,0.19,3.2,0.1676,24,93,0.9997,3.53,0.677,9.1,3
9.54,0.361,0.289,1.9,0.093,21,18,0.9967,3.26,0.761,10.8,6
9.23,0.288,0.279,1.59,0.0842,5,46,0.9967,3.29,0.621,10.5,5
7.73,0.359,0.378,2.24,0.0598,6,45,0.9961,3.3,0.756,10.9,6
8.45,0.489,0.277,1.9,0.0323,3,45,0.9974,3.05,0.719,12.6,7
7.33,0.743,0.262,2.82,0.1167,20,52,0.9973,3.44,0.549,10.2,4
12.22,0.431,0.481,1.61,0.0405,12,9,0.9955,3.27,0.741,12.0,7
6.06,0.663,0.06,3.37,0.0712,31,84,0.9989,3.54,0.525,9.8,3
9.14,0.364,0.391,1.49,0.0677,10,15,0.9949,3.16,0.907,12.0,7
8.87,0.683,0.154,3.1,0.0837,12,75,0.9975,3.31,0.558,9.2,4
9.93,0.286,0.427,1.62,0.0789,13,28,0.9956,3.17,0.798,11.2,7
10.19,0.291,0.509,2.16,0.0941,2,37,0.9965,3.24,0.751,12.0,7
8.06,0.95,0.067,3.51,0.11,22,70,0.9986,3.48,0.53,9.6,3
9.95,0.401,0.208,2.39,0.0629,5,26,0.9973,3.33,0.722,10.8,6
9.32,0.772,0.056,3.01,0.0981,20,54,0.998,3.29,0.528,9.7,4
11.46,0.27,0.552,1.57,0.0442,14,19,0.9964,3.06,0.808,12.3,8
10.65,0.283,0.414,1.05,0.01,13,6,0.996,3.05,0.67,13.6,8
11.28,0.301,0.596,1.58,0.0705,10,12,0.9967,3.24,0.999,12.3,8
13.1,0.363,0.402,1.75,0.0489,16,34,0.9958,3.11,0.865,13.2,8
10.9,0.316,0.609,1.33,0.0556,12,9,0.996,3.02,1.134,12.8,8
9.19,0.669,0.1,2.03,0.128,8,84,0.9977,3.38,0.618,9.4,4
6.9,0.299,0.482,1.32,0.0384,5,22,0.9957,3.2,0.81,11.3,7
10.49,0.353,0.368,2.16,0.0604,13,6,0.9976,3.14,0.718,10.2,6
10.14,0.294,0.595,1.31,0.0554,8,9,0.9967,3.11,0.925,12.5,8
9.68,0.195,0.512,1.06,0.0829,10,29,0.9959,3.14,0.775,11.8,7
7.59,0.778,0.0,3.09,0.1199,24,69,0.9999,3.51,0.36,9.2,3
9.96,0.399,0.455,1.19,0.057,3,23,0.9982,3.24,0.838,11.2,7
9.78,0.479,0.466,1.33,0.0608,4,52,0.9963,3.2,0.807,11.9,7
8.97,0.496,0.24,2.1,0.0546,19,53,0.9974,3.28,0.505,10.0,5
9.35,0.505,0.142,2.48,0.0753,10,43,0.9969,3.28,0.558,10.8,5
4.16,0.659,0.258,3.2,0.1004,21,52,0.9961,3.38,0.63,9.8,4
8.31,0.435,0.173,1.7,0.0496,15,38,0.996,3.28,0.65,11.4,6
9.49,0.218,0.699,1.59,0.0441,7,28,0.9954,3.17,0.829,12.6,8
9.62,0.501,0.331,1.52,0.068,12,36,0.996,3.18,0.713,11.2,6
10.61,0.51,0.473,1.31,0.0594,19,21,0.997,3.13,0.769,11.6,7
10.2,0.471,0.034,2.37,0.0824,18,54,0.9966,3.42,0.745,9.5,4
8.89,0.432,0.163,3.16,0.0451,6,62,0.9983,3.41,0.552,9.5,5
10.32,0.275,0.303,2.46,0.0848,14,47,0.9971,3.24,0.774,10.6,6
8.76,0.436,0.387,2.88,0.1123,26,50,0.9977,3.28,0.584,11.1,5
7.37,0.75,0.18,3.24,0.1116,31,63,0.9991,3.23,0.445,9.8,3
9.44,0.219,0.267,1.23,0.0679,8,39,0.9953,3.23,0.766,10.6,6
6.96,0.729,0.023,3.52,0.1101,16,83,0.9991,3.52,0.582,9.4,3
6.72,0.511,0.246,3.22,0.1091,18,20,0.9979,3.42,0.493,10.3,4
6.47,0.624,0.12,4.23,0.1313,28,61,0.9975,3.5,0.244,9.4,3
12.16,0.218,0.441,1.71,0.0602,8,6,0.9964,3.09,0.811,12.7,8
10.08,0.348,0.341,0.57,0.064,7,30,0.9964,3.32,0.967,11.5,7
10.42,0.348,0.39,0.5,0.0476,7,22,0.9954,3.38,0.941,12.3,8
13.65,0.49,0.285,0.5,0.0539,4,6,0.996,3.15,0.931,12.7,8
7.72,0.432,0.317,0.5,0.0881,2,20,0.996,3.22,0.865,11.7,7
7.07,0.917,0.138,3.14,0.0981,16,65,0.9976,3.48,0.726,8.6,3
8.18,0.667,0.109,4.4,0.132,22,83,0.9976,3.4,0.469,8.7,3
11.19,0.276,0.499,0.78,0.0505,9,29,0.9963,3.19,0.938,13.8,8
10.91,0.402,0.428,1.2,0.0537,4,22,0.996,3.1,0.865,12.5,8
10.45,0.468,0.495,0.82,0.0494,10,31,0.9954,3.25,0.831,12.2,7
9.57,0.316,0.219,0.65,0.0745,15,24,0.9958,3.3,0.682,11.6,6
7.91,0.42,0.383,1.25,0.0528,7,47,0.9964,3.38,0.548,11.0,6
6.88,0.701,0.202,3.32,0.1377,20,64,0.9978,3.49,0.586,9.3,4
8.01,0.5,0.242,2.23,0.0755,10,37,0.998,3.3,0.83,10.7,5
9.05,0.24,0.293,1.47,0.0784,16,23,0.9958,3.4,0.585,11.9,6
7.99,0.507,0.167,2.26,0.1203,16,61,0.9981,3.47,0.579,9.7,4
8.36,0.356,0.251,2.06,0.0398,6,33,0.9981,3.23,0.834,10.7,6
10.23,0.468,0.442,1.35,0.0389,5,27,0.9957,3.14,0.975,12.0,7
9.21,0.528,0.177,1.71,0.0984,22,53,0.9979,3.4,0.676,9.6,4
7.89,0.86,0.063,3.08,0.1439,27,79,0.9982,3.63,0.276,9.8,3
9.92,0.28,0.466,1.4,0.0677,15,42,0.9963,3.27,0.769,12.0,6
9.3,0.397,0.443,1.92,0.0608,8,38,0.9967,3.21,0.74,11.6,7
7.59,0.411,0.277,2.62,0.0728,19,50,0.9961,3.44,0.677,10.7,5
7.37,0.227,0.44,1.62,0.0476,21,36,0.9962,3.3,0.718,11.1,6
11.04,0.388,0.342,1.16,0.0434,12,35,0.997,3.25,1.013,11.7,7
9.27,0.794,0.2,2.62,0.0799,14,42,0.9973,3.28,0.354,9.9,4
7.28,0.565,0.018,4.99,0.1423,9,74,0.9999,3.47,0.444,8.8,3
8.99,0.48,0.49,1.13,0.0632,20,45,0.998,3.17,0.919,11.4,7
7.68,0.733,0.156,3.89,0.118,17,79,0.9985,3.46,0.546,9.6,3
5.94,0.728,0.095,4.75,0.1832,22,83,1.0002,3.49,0.432,10.2,3
8.83,0.324,0.336,0.92,0.0476,7,20,0.9974,3.4,0.929,11.2,6
8.14,0.503,0.239,1.67,0.093,18,14,0.9954,3.35,0.722,10.9,6
10.51,0.425,0.3,0.99,0.0948,6,12,0.9975,3.26,0.892,10.4,6
7.3,0.668,0.056,4.46,0.1016,14,70,0.9987,3.53,0.299,9.2,3
8.68,0.461,0.499,2.36,0.0702,10,57,0.9981,3.18,0.597,10.3,5
5.77,0.562,0.186,3.66,0.1154,21,38,0.9977,3.34,0.483,10.0,4
7.83,0.745,0.09,4.33,0.0932,25,95,0.9983,3.43,0.383,8.9,3
8.4,0.452,0.362,1.63,0.0755,24,38,0.9978,3.45,0.869,10.1,5
7.05,0.701,0.0,4.28,0.0953,18,101,0.9983,3.36,0.488,9.0,3
11.3,0.249,0.393,1.1,0.0358,14,29,0.996,3.06,0.792,12.3,8
7.88,0.595,0.2,3.04,0.0775,20,41,0.9981,3.25,0.528,9.9,4
6.62,0.788,0.137,3.06,0.113,20,79,0.9988,3.48,0.718,9.0,3
9.46,0.498,0.396,1.6,0.0678,11,49,0.9972,3.04,0.648,10.6,6
8.55,0.582,0.395,1.84,0.0551,9,27,0.9959,3.18,0.647,10.1,6
7.8,0.762,0.104,3.17,0.1317,29,85,0.9977,3.56,0.59,9.5,3
7.99,0.64,0.14,3.93,0.093,22,64,0.9993,3.38,0.385,8.8,3
7.74,0.545,0.321,2.67,0.1101,9,59,0.9958,3.22,0.727,10.4,5
9.79,0.426,0.378,1.69,0.069,19,19,0.9969,3.32,0.987,12.2,7
8.86,0.532,0.335,1.65,0.0486,13,28,0.9975,3.23,0.719,11.2,6
7.7,0.499,0.349,1.83,0.0744,13,35,0.9956,3.23,0.679,10.1,6
10.79,0.123,0.449,1.92,0.07,2,21,0.9949,3.13,0.82,13.2,8
7.34,0.508,0.117,1.57,0.0784,21,74,0.9985,3.2,0.611,9.3,4
8.63,0.13,0.322,1.57,0.0792,5,11,0.9976,3.21,0.884,11.8,7
11.56,0.371,0.437,0.53,0.0631,8,13,0.9965,3.19,1.024,13.5,8
12.61,0.372,0.446,1.62,0.0325,12,12,0.9941,3.03,0.784,12.3,8
11.22,0.372,0.305,0.5,0.0672,9,35,0.9972,3.3,0.898,11.8,7
9.86,0.149,0.682,0.87,0.0425,21,6,0.9944,3.22,1.077,12.5,8
5.49,0.655,0.12,2.34,0.0897,26,73,0.997,3.25,0.642,9.9,4
10.06,0.44,0.303,1.47,0.0729,13,31,0.9951,3.23,0.792,11.2,7
6.23,0.54,0.245,2.98,0.076,27,66,0.9978,3.3,0.451,9.6,4
7.19,0.678,0.088,2.55,0.1369,25,81,0.9976,3.42,0.458,9.1,3
9.65,0.287,0.414,0.78,0.0358,13,55,0.9964,3.34,0.739,11.4,6
8.76,0.703,0.221,4.22,0.0969,25,81,0.9969,3.38,0.519,10.1,4
8.24,0.689,0.207,2.81,0.0941,19,39,0.9991,3.33,0.345,9.2,4
7.96,0.573,0.25,3.16,0.044,5,45,0.9964,3.48,0.587,10.5,5
12.42,0.203,0.429,0.8,0.0482,9,13,0.9952,3.19,0.928,12.6,8
9.81,0.289,0.453,1.14,0.0675,13,28,0.9959,3.19,0.707,12.0,7
9.52,0.266,0.536,1.58,0.0691,9,22,0.9955,3.28,0.851,13.2,8
8.45,0.463,0.222,1.07,0.0666,10,47,0.996,3.31,0.669,10.7,6
10.18,0.189,0.441,1.24,0.0545,15,11,0.9962,3.19,0.638,11.2,7
11.42,0.289,0.546,1.17,0.0397,2,6,0.9952,3.1,0.829,12.8,8
11.15,0.337,0.52,1.14,0.0583,12,38,0.9966,3.05,0.885,13.1,8
8.53,0.475,0.22,1.84,0.0659,11,16,0.9962,3.17,0.604,11.2,6
7.73,0.545,0.123,2.26,0.0958,16,66,0.9978,3.25,0.574,9.2,4
11.36,0.307,0.288,2.0,0.075,13,31,0.9956,3.29,0.794,11.2,6
8.89,0.449,0.198,2.32,0.0873,20,56,0.9965,3.21,0.665,10.1,5
9.19,0.554,0.29,1.83,0.1005,14,57,0.9986,3.51,0.643,9.0,4
8.35,0.464,0.327,2.49,0.0724,9,27,0.9968,3.24,0.659,10.2,5
9.12,0.377,0.267,1.48,0.0614,15,35,0.997,3.32,0.804,11.3,6
11.7,0.321,0.297,1.86,0.0878,8,40,0.9965,3.13,0.786,12.1,7
9.94,0.437,0.291,1.74,0.0951,21,47,0.9964,3.31,0.638,9.6,5
7.04,0.543,0.39,2.66,0.0468,13,66,0.9961,3.44,0.729,11.2,5
7.95,0.519,0.204,1.66,0.105,15,49,0.9979,3.51,0.492,9.7,4
10.91,0.313,0.614,0.59,0.0234,7,28,0.9969,3.1,0.939,12.5,8
9.35,0.449,0.197,1.47,0.0727,18,34,0.997,3.34,0.518,10.2,5
8.01,0.606,0.04,2.66,0.1185,23,71,0.9977,3.47,0.683,10.0,4
12.33,0.318,0.676,1.09,0.0391,19,6,0.9935,3.03,1.159,13.0,8
6.74,0.629,0.229,2.7,0.0908,18,46,0.9962,3.37,0.72,10.4,5
10.41,0.329,0.595,1.63,0.0841,6,14,0.9947,3.17,0.751,12.5,8
6.61,0.707,0.082,2.26,0.1419,21,76,0.9989,3.44,0.584,8.5,3
8.21,0.324,0.284,2.48,0.0729,19,29,0.997,3.39,0.723,10.5,5
7.93,0.483,0.347,2.15,0.0821,12,19,0.9977,3.36,0.816,11.0,6
7.31,0.53,0.237,2.78,0.083,15,62,0.9971,3.47,0.7,9.5,4
8.76,0.307,0.418,0.5,0.088,8,34,0.9959,3.06,0.801,11.5,7
11.24,0.126,0.457,1.08,0.0724,7,29,0.994,3.02,0.702,12.6,8
8.62,0.663,0.377,1.81,0.0823,12,26,0.9971,3.4,0.495,10.8,5
9.22,0.341,0.568,0.5,0.0682,6,27,0.9963,3.17,0.818,13.2,8
10.34,0.445,0.336,1.03,0.0728,14,27,0.997,3.27,0.912,11.7,6
5.04,0.602,0.207,3.69,0.1474,24,64,0.9984,3.46,0.535,8.9,3
9.11,0.244,0.398,1.13,0.0816,13,29,0.9976,3.27,0.825,10.7,6
6.83,0.554,0.31,1.59,0.1111,23,46,0.9979,3.35,0.674,9.9,4
11.75,0.312,0.494,1.59,0.0546,9,21,0.9967,3.09,0.842,12.2,7
7.52,0.424,0.174,1.92,0.0741,3,45,0.9976,3.32,0.723,10.4,5
7.63,0.562,0.327,1.34,0.0855,15,56,0.9982,3.37,0.671,10.8,5
